intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Headway,Independence Blue Cross Pennsylvania,99205,MD,,,
Headway,Independence Blue Cross Pennsylvania,99214,MD,,,
Headway,Independence Blue Cross Pennsylvania,99215,MD,,,
Headway,Independence Blue Cross Pennsylvania,90833,MD,,,
Headway,Independence Blue Cross Pennsylvania,90836,MD,,,
Headway,Independence Blue Cross Pennsylvania,90838,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99204,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99205,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99214,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99215,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,90833,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,90836,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,90838,DC,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99204,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99205,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99214,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,99215,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,90833,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,90836,MD,,,
Headway,Horizon Blue Cross and Blue Shield of New Jersey,90838,MD,,,
Headway,Ambetter Washington,99204,WA,,,
Headway,Ambetter Washington,99205,WA,,,
Headway,Ambetter Washington,99214,WA,,,
Headway,Ambetter Washington,99215,WA,,,
Headway,Ambetter Washington,90833,WA,,,
Headway,Ambetter Washington,90836,WA,,,
Headway,Ambetter Washington,90838,WA,,,
Alma,Optum/UHC/Oscar,99204,AK,,,
Alma,Optum/UHC/Oscar,99205,AK,,,
Alma,Optum/UHC/Oscar,99214,AK,,,
Alma,Optum/UHC/Oscar,99215,AK,,,
Alma,Optum/UHC/Oscar,90833,AK,,,
Alma,Optum/UHC/Oscar,90836,AK,,,
Alma,Optum/UHC/Oscar,90838,AK,,,
Alma,Optum/UHC/Oscar,99204,AZ,,,
Alma,Optum/UHC/Oscar,99205,AZ,,,
Alma,Optum/UHC/Oscar,99214,AZ,,,
Alma,Optum/UHC/Oscar,99215,AZ,,,
Alma,Optum/UHC/Oscar,90833,AZ,,,
Alma,Optum/UHC/Oscar,90836,AZ,,,
Alma,Optum/UHC/Oscar,90838,AZ,,,
Alma,Optum/UHC/Oscar,99204,CO,,,
Alma,Optum/UHC/Oscar,99205,CO,,,
Alma,Optum/UHC/Oscar,99214,CO,,,
Alma,Optum/UHC/Oscar,99215,CO,,,
Alma,Optum/UHC/Oscar,90833,CO,,,
Alma,Optum/UHC/Oscar,90836,CO,,,
Alma,Optum/UHC/Oscar,90838,CO,,,
Alma,Optum/UHC/Oscar,99204,DC,,,
Alma,Optum/UHC/Oscar,99205,DC,,,
Alma,Optum/UHC/Oscar,99214,DC,,,
Alma,Optum/UHC/Oscar,99215,DC,,,
Alma,Optum/UHC/Oscar,90833,DC,,,
Alma,Optum/UHC/Oscar,90836,DC,,,
Alma,Optum/UHC/Oscar,90838,DC,,,
Alma,Optum/UHC/Oscar,99204,FL,,,
Alma,Optum/UHC/Oscar,99205,FL,,,
Alma,Optum/UHC/Oscar,99214,FL,,,
Alma,Optum/UHC/Oscar,99215,FL,,,
Alma,Optum/UHC/Oscar,90833,FL,,,
Alma,Optum/UHC/Oscar,90836,FL,,,
Alma,Optum/UHC/Oscar,90838,FL,,,
Alma,Optum/UHC/Oscar,99204,IA,,,
Alma,Optum/UHC/Oscar,99205,IA,,,
Alma,Optum/UHC/Oscar,99214,IA,,,
Alma,Optum/UHC/Oscar,99215,IA,,,
Alma,Optum/UHC/Oscar,90833,IA,,,
Alma,Optum/UHC/Oscar,90836,IA,,,
Alma,Optum/UHC/Oscar,90838,IA,,,
Alma,Optum/UHC/Oscar,99204,MD,,,
Alma,Optum/UHC/Oscar,99205,MD,,,
Alma,Optum/UHC/Oscar,99214,MD,,,
Alma,Optum/UHC/Oscar,99215,MD,,,
Alma,Optum/UHC/Oscar,90833,MD,,,
Alma,Optum/UHC/Oscar,90836,MD,,,
Alma,Optum/UHC/Oscar,90838,MD,,,
Alma,Optum/UHC/Oscar,99204,MN,,,
Alma,Optum/UHC/Oscar,99205,MN,,,
Alma,Optum/UHC/Oscar,99214,MN,,,
Alma,Optum/UHC/Oscar,99215,MN,,,
Alma,Optum/UHC/Oscar,90833,MN,,,
Alma,Optum/UHC/Oscar,90836,MN,,,
Alma,Optum/UHC/Oscar,90838,MN,,,
Alma,Optum/UHC/Oscar,99204,MT,,,
Alma,Optum/UHC/Oscar,99205,MT,,,
Alma,Optum/UHC/Oscar,99214,MT,,,
Alma,Optum/UHC/Oscar,99215,MT,,,
Alma,Optum/UHC/Oscar,90833,MT,,,
Alma,Optum/UHC/Oscar,90836,MT,,,
Alma,Optum/UHC/Oscar,90838,MT,,,
Alma,Optum/UHC/Oscar,99204,OR,,,
Alma,Optum/UHC/Oscar,99205,OR,,,
Alma,Optum/UHC/Oscar,99214,OR,,,
Alma,Optum/UHC/Oscar,99215,OR,,,
Alma,Optum/UHC/Oscar,90833,OR,,,
Alma,Optum/UHC/Oscar,90836,OR,,,
Alma,Optum/UHC/Oscar,90838,OR,,,
Alma,Optum/UHC/Oscar,99204,WA,,,
Alma,Optum/UHC/Oscar,99205,WA,,,
Alma,Optum/UHC/Oscar,99214,WA,,,
Alma,Optum/UHC/Oscar,99215,WA,,,
